description,link,pubDate,title
行政長官李家超與東盟國家總領事舉行午餐會，就廣泛的議題交換意見，討論熱烈，富有成果，他希望這個午餐會將會例行舉行，以鞏固香港與東盟的關係。 李家超在社交網頁表示，香港與東盟雙邊經貿關係發展蓬勃，過去10多年來，東盟一直是香港第二大貿易夥伴。 2022年雙邊貨物貿易金額達到12940億港元，創歷史新高。東盟作為世界第五大經濟體，經濟發展動力強勁，潛力無限。 他又說，很高興看到東盟成員國的高級官員經常訪港，並與在港的夥伴會面。而東盟的遊客亦熱衷來港旅遊，當中菲律賓和泰國的入境旅客人數大幅增長，去年11月和12月的旅客人數，相當於2017年和2018年同期的114%和104%，超過疫情前的數字。他期待來自東盟的朋友多到訪香港，造就香港與東盟更加緊密的合作關係。,https://hk.news.yahoo.com/%E6%9D%8E%E5%AE%B6%E8%B6%85%E8%88%87%E6%9D%B1%E7%9B%9F%E5%9C%8B%E5%AE%B6%E7%B8%BD%E9%A0%98%E4%BA%8B%E8%88%89%E8%A1%8C%E5%8D%88%E9%A4%90%E6%9C%83-%E5%B0%B1%E5%BB%A3%E6%B3%9B%E8%AD%B0%E9%A1%8C%E4%BA%A4%E6%8F%9B%E6%84%8F%E8%A6%8B-075952085.html,"Mon, 22 Jan 2024 07:59:52 +0800",李家超與東盟國家總領事舉行午餐會　就廣泛議題交換意見
一項調查顯示，家務助理的薪酬待遇以及工傷保障不足，亦對垃圾收費的安排不認識，建議政府加強宣傳及解說。 勞聯及家庭服務從業員協會訪問了192名家務助理，接近6成受訪工友去年時薪為110元以上，近9成人認為今年應調整，另外有6成人認為因工作勞損而而引起的治費費用，並不在保險的保障範圍內；有4成工友在上班前沒有確保僱主是否已買保險，亦有3成人表示，僱主沒有買保險的情況下仍會返工。另外，垃圾收費將會推行，有4成人對新安排完全不了解。 協會認為家務助理時薪應不少於120 至135元，並建議擴大職業病保障範圍。勞聯主席林振昇表示，認同政府押後實施垃圾收費，希望政府善用延後的4個月做好宣傳及解說，又建議僱員再培訓局的家務助理課程中，增加有關培訓內容，令家務助理更清楚新措施內容。,https://hk.news.yahoo.com/%E8%AA%BF%E6%9F%A5-%E8%BF%91%E5%85%AD%E6%88%90%E5%AE%B6%E5%8B%99%E5%8A%A9%E7%90%86%E5%8E%BB%E5%B9%B4%E6%99%82%E8%96%AA110%E5%85%83%E4%BB%A5%E4%B8%8A-%E5%9B%9B%E6%88%90%E4%B8%8D%E4%BA%86%E8%A7%A3%E5%9E%83%E5%9C%BE%E5%BE%B5%E8%B2%BB-070600005.html,"Mon, 22 Jan 2024 07:06:00 +0800",調查：近六成家務助理去年時薪110元以上　四成不了解垃圾徵費
本港氣溫驟降，長者安居協會預計，「一線通平安鐘」支援中心接獲的求助個案會增加，中心將預留足夠人手應對，已向職員講解關於禦寒措施、低溫症狀等資料，並增加待命護士人手，以便更快提供協助及轉介服務。 協會指出，由本月18日至今日中午12時，超過3萬8千名平安鐘用戶，已接收協會發出的禦寒語音提示，中心亦撥出5700個電話，提醒長者為嚴寒天氣提早做準備。 協會提醒，嚴寒可致體弱人士死亡，呼籲市民留意寒流對長者的影響，早、午、晚關注身邊長者，如發現長者身體變差就即時求助。,https://hk.news.yahoo.com/%E6%B0%A3%E6%BA%AB%E9%A9%9F%E9%99%8D-%E9%95%B7%E8%80%85%E5%AE%89%E5%B1%85%E5%8D%94%E6%9C%83%E6%96%99%E5%B9%B3%E5%AE%89%E9%90%98%E6%B1%82%E5%8A%A9%E5%80%8B%E6%A1%88%E5%A2%9E%E5%8A%A0%E5%B0%87%E9%A0%90%E7%95%99%E4%BA%BA%E6%89%8B%E6%87%89%E5%B0%8D-065748679.html,"Mon, 22 Jan 2024 06:57:48 +0800",氣溫驟降　長者安居協會料平安鐘求助個案增加將預留人手應對
【on.cc東網專訊】8名警務人員於2020年在深水埗通州街公園執勤時，涉嫌誣衊露宿者藏毒、傷害露宿者及破壞對方的家當等，眾警否認刑事毀壞、傷人、妨礙司法公正及藉公職作不當行為等共10罪，案件今日(22日)於區院續審，控方再播放涉案公園的閉路電視(CCTV)紀錄,https://hk.news.yahoo.com/%E5%85%AB%E8%AD%A6%E8%A5%B2%E7%84%A1%E5%AE%B6%E8%80%85%E6%A1%88-%E6%8E%A7%E6%96%B9%E6%8C%87%E6%9C%89%E8%A2%AB%E5%91%8A%E4%BB%A5%E7%B4%85%E8%89%B2%E8%86%A0%E8%A2%8B%E9%81%AEcctv-064931934.html,"Mon, 22 Jan 2024 06:49:31 +0800",八警襲無家者案　控方指有被告以紅色膠袋遮CCTV
【on.cc東網專訊】因應世界動物衞生組織通報，指美國堪薩斯州Mitchell縣爆發高致病性H5N1禽流感。為保障本港公眾健康，食物環境衞生署食物安全中心今日(22日)宣布，即時指示業界暫停從該地區進口禽肉及禽類產品，包括禽蛋。,https://hk.news.yahoo.com/%E7%BE%8E%E5%9C%8B%E7%88%86%E9%AB%98%E8%87%B4%E7%97%85%E6%80%A7h5n1-%E6%B8%AF%E6%9A%AB%E5%81%9C%E9%80%B2%E5%8F%A3%E7%A6%BD%E9%A1%9E%E7%94%A2%E5%93%81-064700149.html,"Mon, 22 Jan 2024 06:47:00 +0800",美國爆高致病性H5N1　港暫停進口禽類產品
英國一名鋼琴家在火車站表演鋼琴期間，直播時拍到他身後一群華人。這群手持五星旗的華人後來對鋼琴家表示不可拍攝他們，因為他們來自中國電視攝製隊。鋼琴家拒絕合作，指出該處是公眾地方，有拍攝自由。爭論後來越來越激烈，華人表示他們有肖像權，當鋼琴家觸碰對方手上的五星旗時，一名男性華人重複大叫「別碰她」。後來警方到場了解，一名女警向鋼琴家表示，由於涉及金錢利益，那群華人人的臉容不能在鋼琴家的視頻上使用。,https://hk.news.yahoo.com/%E9%8B%BC%E7%90%B4%E5%AE%B6%E5%80%AB%E6%95%A6%E8%BB%8A%E7%AB%99%E7%9B%B4%E6%92%AD%E8%A1%A8%E6%BC%94-%E8%8F%AF%E4%BA%BA%E8%A2%AB%E6%8B%8D%E5%85%A5%E9%8F%A1%E8%A6%81%E6%B1%82%E5%81%9C%E6%AD%A2%EF%BC%9A%E3%80%8C%E6%88%91%E5%80%91%E4%B8%8D%E8%83%BD%E5%9C%A8%E7%B6%B2%E4%B8%8A%E5%87%BA%E7%8F%BE%E3%80%8D-064535739.html,"Mon, 22 Jan 2024 06:45:35 +0800",鋼琴家倫敦車站直播表演 華人被拍入鏡要求停止：「我們不能在網上出現」
【on.cc東網專訊】已解散的支聯會之副主席鄒幸彤，前年被指撰文呼籲市民參加未經批准的六四集會，因次被控煽惑他人明知而參與未經批准集結罪，經審訊後，她被裁定罪成，判囚15個月。她不服判決提出上訴，高院原訟庭於2022年底裁定鄒上訴得直，撤銷定罪。律政司就該裁決向,https://hk.news.yahoo.com/%E9%84%92%E5%B9%B8%E5%BD%A4%E8%84%AB%E5%89%8D%E5%B9%B46-4%E7%85%BD%E6%83%91%E9%9B%86%E7%B5%90%E7%BD%AA-%E7%B5%82%E9%99%A21-25%E5%B0%B1%E5%BE%8B%E6%94%BF%E5%8F%B8%E4%B8%8A%E8%A8%B4%E4%BD%9C%E8%A3%81%E6%B1%BA-054701516.html,"Mon, 22 Jan 2024 05:47:01 +0800",鄒幸彤脫前年6.4煽惑集結罪　終院1.25就律政司上訴作裁決
近年本港出現多個微型媒體，曾經任職《明周》、《立場新聞》等媒體的資深專題記者蕭曉華，近期亦成立了《山下有人》（hillmankind），媒體昨日（21 日）開通了社交媒體專頁，在 facebook 跟大家見面。,https://hk.news.yahoo.com/%E5%B1%B1%E4%B8%8B%E6%9C%89%E4%BA%BA-%E8%95%AD%E6%9B%89%E8%8F%AF-%E6%96%B0%E5%AA%92%E9%AB%94-052531836.html,"Mon, 22 Jan 2024 05:25:31 +0800",新媒體《山下有人》上線　受暢銷著作《人慈》啟發　英文命名 hillmankind｜Yahoo　
立法會C15+其中9名議員會見財政司司長陳茂波、副司長黃偉綸以及財經事務及庫務局局長許正宇，表達對新一份《財政預算案》的建議。 議員吳傑莊在會後表示，希望預算案大原則是「零加稅、少徵費」，他反對坊間提出的不同加稅建議，包括徵收資產增值稅、離境稅及虛擬資產印花稅，有鑑於現時有不少非法外圍賭博活動，他認為本港可以做好博彩規管，增強馬會動能，同時提高庫房收入。 議員尚海龍就提出，每年的預算案不應有太大幅度政策調整，以免市民不適應。他認為，出入境人才對置業有需求，政府應該把握時機，促進相關物業交易，在未來規劃發展方面，則應該「先做北都、再謀大嶼」。 議員江玉歡認為，政府要將赤字水平減至最低，至於徵收新稅，她說不能窒外經濟發展，因此反對徵收資產增值稅。 議員林筱魯亦表示，反對任何會削弱本港競爭力的稅項，但如果提升違規罰款及個人服務收費，以增加政府收入，則可以接受。 議員陳紹雄提出研究設立基建工程中央統一採購平台，另外亦參考西九文化區及機管局，設立新田科技城獨立管理機構。他亦建議，增加累進子女免稅額及外傭開支扣稅，以惠及中產。,https://hk.news.yahoo.com/%E7%AB%8B%E6%B3%95%E6%9C%83c15-%E9%83%A8%E5%88%86%E8%AD%B0%E5%93%A1%E6%99%A4%E9%99%B3%E8%8C%82%E6%B3%A2-%E5%B0%B1%E6%96%B0-%E4%BB%BD%E9%A0%90%E7%AE%97%E6%A1%88%E6%8F%90%E5%BB%BA%E8%AD%B0-051928221.html,"Mon, 22 Jan 2024 05:19:28 +0800",立法會C15+部分議員晤陳茂波　就新一份預算案提建議
一名女文員涉嫌在社交平台轉載一則貼文呼籲他人杯葛區議會選舉，承認一項在選舉期間內藉公開活動作出煽惑另一人投無效票的非法行為罪，在東區裁判法院被判監2個月，緩刑兩年。主任裁判官徐綺薇表示，投票為公民責任，公平選舉建基於誠實，被告的行為打擊公平性，社會不能接納。 案情指，被告涉嫌於2023年12月3日轉載前區議員李文浩社交平台的貼文，煽惑他人致使選票被視為無效。,https://hk.news.yahoo.com/%E5%A5%B3%E6%96%87%E5%93%A1%E8%BD%89%E8%BC%89%E8%B2%BC%E6%96%87%E5%91%BC%E7%B1%B2%E4%BB%96%E4%BA%BA%E6%9D%AF%E8%91%9B%E5%8D%80%E8%AD%B0%E6%9C%83%E9%81%B8%E8%88%89-%E5%88%A4%E5%9B%9A2%E5%80%8B%E6%9C%88%E7%8D%B2%E7%B7%A9%E5%88%91-045730565.html,"Mon, 22 Jan 2024 04:57:30 +0800",女文員轉載貼文呼籲他人杯葛區議會選舉　判囚2個月獲緩刑
